id_produto,nome_produto,categoria,preco,ativo,descricao
1,Notebook Lenovo IdeaPad 3 15,Informática,5963.42,True,"Notebook Lenovo IdeaPad 3 15 | Categoria: Informática | Cor: prata | Material: alumínio | Voltagem: 220V | Peso: 33.38 kg | Dimensões: 149x32x80 cm | Capacidade: 16GB RAM | Potência: 65W | Conectividade: Wi-Fi | Recursos: assistência técnica nacional, acabamento premium, baixo ruído | Garantia: 24 meses | Origem: México | Indicações de uso: viagem | Compatível com: Wi-Fi 2.4/5GHz | Palavras-chave: informática, prata, alumínio, 220V, 16GB RAM, 65W, Wi-Fi, eficiência, durável, custo-benefício | Nulla culpa in consectetur ullam deleniti ratione quibusdam voluptate quas."
12,Guarda-Roupa 6 Portas Cedro,Móveis,3714.89,True,"Guarda-Roupa 6 Portas Cedro | Categoria: Móveis | Cor: azul-marinho | Material: vidro temperado | Voltagem: 220V | Peso: 43.09 kg | Dimensões: 152x179x67 cm | Capacidade: 120kg suportados | Potência: — | Conectividade: USB-C | Recursos: baixo ruído, acabamento premium, controle por app | Garantia: 24 meses | Origem: China | Indicações de uso: doméstico | Compatível com: tomada padrão | Palavras-chave: móveis, azul-marinho, vidro temperado, 220V, 120kg suportados, —, USB-C, eficiência, durável, custo-benefício | Impedit esse quasi neque magni praesentium quod quae."
13,Escova Modeladora Conair,Beleza,633.25,True,"Escova Modeladora Conair | Categoria: Beleza | Cor: prata | Material: aço inox | Voltagem: 220V | Peso: 3.79 kg | Dimensões: 57x27x13 cm | Capacidade: 200°C | Potência: 1526W | Conectividade: DisplayPort | Recursos: controle por app, baixo ruído, eficiência energética A | Garantia: 12 meses | Origem: China | Indicações de uso: escritório | Compatível com: padrão ABNT | Palavras-chave: beleza, prata, aço inox, 220V, 200°C, 1526W, DisplayPort, eficiência, durável, custo-benefício | Doloribus ab occaecati quas beatae nihil facere doloribus iste architecto corporis."
14,Máquina de Lavar Consul 11kg,Eletrodomésticos,1703.84,True,"Máquina de Lavar Consul 11kg | Categoria: Eletrodomésticos | Cor: azul-marinho | Material: tecido suede | Voltagem: 110V | Peso: 41.82 kg | Dimensões: 28x12x63 cm | Capacidade: 500ml | Potência: 1753W | Conectividade: Wi-Fi | Recursos: acabamento premium, design ergonômico, garantia 12 meses | Garantia: 12 meses | Origem: Brasil | Indicações de uso: profissional | Compatível com: USB-C PD | Palavras-chave: eletrodomésticos, azul-marinho, tecido suede, 110V, 500ml, 1753W, Wi-Fi, eficiência, durável, custo-benefício | Impedit eaque quibusdam voluptas cupiditate aliquam quae magnam tempora dicta hic iusto minus."
15,Micro-ondas Electrolux 20L,Eletrodomésticos,2713.38,True,"Micro-ondas Electrolux 20L | Categoria: Eletrodomésticos | Cor: azul-marinho | Material: cerâmica | Voltagem: 220V | Peso: 23.9 kg | Dimensões: 180x151x43 cm | Capacidade: 2L | Potência: 812W | Conectividade: USB-C | Recursos: eficiência energética A, acabamento premium | Garantia: 6 meses | Origem: China | Indicações de uso: escritório | Compatível com: padrão ABNT | Palavras-chave: eletrodomésticos, azul-marinho, cerâmica, 220V, 2L, 812W, USB-C, eficiência, durável, custo-benefício | Nesciunt occaecati cum a ipsa officia recusandae."
16,Máquina de Lavar Consul 11kg,Eletrodomésticos,4171.86,True,"Máquina de Lavar Consul 11kg | Categoria: Eletrodomésticos | Cor: cinza-escuro | Material: tecido suede | Voltagem: 110V | Peso: 40.76 kg | Dimensões: 23x33x59 cm | Capacidade: 20L | Potência: 690W | Conectividade: USB-C | Recursos: design ergonômico, garantia 12 meses, resistente a riscos | Garantia: 24 meses | Origem: Vietnã | Indicações de uso: viagem | Compatível com: tomada padrão | Palavras-chave: eletrodomésticos, cinza-escuro, tecido suede, 110V, 20L, 690W, USB-C, eficiência, durável, custo-benefício | Officia soluta pariatur nisi consequuntur alias."
17,Notebook Dell Inspiron 15,Informática,7567.00,True,"Notebook Dell Inspiron 15 | Categoria: Informática | Cor: prata | Material: malha respirável | Voltagem: bivolt | Peso: 37.59 kg | Dimensões: 159x151x23 cm | Capacidade: 16GB RAM | Potência: 90W | Conectividade: USB-C | Recursos: baixo ruído, proteção contra sobrecarga, assistência técnica nacional, acabamento premium | Garantia: 6 meses | Origem: Brasil | Indicações de uso: escritório | Compatível com: Wi-Fi 2.4/5GHz | Palavras-chave: informática, prata, malha respirável, bivolt, 16GB RAM, 90W, USB-C, eficiência, durável, custo-benefício | Esse quam voluptas alias quis commodi eius assumenda mollitia ab minus."
18,Maquina de Cortar Cabelo Wahl Home Pro,Beleza,1115.37,True,"Maquina de Cortar Cabelo Wahl Home Pro | Categoria: Beleza | Cor: prata | Material: ABS | Voltagem: 110V | Peso: 1.31 kg | Dimensões: 198x95x57 cm | Capacidade: 200°C | Potência: 1246W | Conectividade: NFC | Recursos: fácil instalação, baixo ruído | Garantia: 12 meses | Origem: México | Indicações de uso: profissional | Compatível com: Wi-Fi 2.4/5GHz | Palavras-chave: beleza, prata, ABS, 110V, 200°C, 1246W, NFC, eficiência, durável, custo-benefício | Vitae optio assumenda officia consequatur ullam labore."
19,Fogão 4 Bocas Atlas Mônaco,Eletrodomésticos,4950.14,False,"Fogão 4 Bocas Atlas Mônaco | Categoria: Eletrodomésticos | Cor: grafite | Material: aço inox | Voltagem: 220V | Peso: 8.85 kg | Dimensões: 94x81x13 cm | Capacidade: 20L | Potência: 1319W | Conectividade: DisplayPort, HDMI, USB-C | Recursos: eficiência energética A, design ergonômico | Garantia: 6 meses | Origem: China | Indicações de uso: doméstico | Compatível com: tomada padrão | Palavras-chave: eletrodomésticos, grafite, aço inox, 220V, 20L, 1319W, DisplayPort, HDMI, USB-C, eficiência, durável, custo-benefício | Voluptas pariatur ex quam officiis eveniet."
20,Aparador de Pelos Philips OneBlade,Beleza,454.08,True,"Aparador de Pelos Philips OneBlade | Categoria: Beleza | Cor: verde-oliva | Material: cerâmica | Voltagem: 220V | Peso: 5.38 kg | Dimensões: 157x58x37 cm | Capacidade: 200°C | Potência: 2151W | Conectividade: Wi-Fi, DisplayPort | Recursos: proteção contra sobrecarga, fácil instalação, eficiência energética A | Garantia: 24 meses | Origem: China | Indicações de uso: viagem | Compatível com: USB-C PD | Palavras-chave: beleza, verde-oliva, cerâmica, 220V, 200°C, 2151W, Wi-Fi, DisplayPort, eficiência, durável, custo-benefício | Quis nam sed necessitatibus dignissimos perspiciatis ut voluptatem voluptas quo reiciendis."
21,Teclado Mecânico Redragon Kumara,Informática,4116.13,True,"Teclado Mecânico Redragon Kumara | Categoria: Informática | Cor: vermelho | Material: vidro temperado | Voltagem: 220V | Peso: 13.45 kg | Dimensões: 42x59x58 cm | Capacidade: 16GB RAM | Potência: 90W | Conectividade: DisplayPort, USB-C, HDMI | Recursos: design ergonômico, controle por app | Garantia: 6 meses | Origem: Vietnã | Indicações de uso: viagem | Compatível com: USB-C PD | Palavras-chave: informática, vermelho, vidro temperado, 220V, 16GB RAM, 90W, DisplayPort, USB-C, HDMI, eficiência, durável, custo-benefício | Ratione debitis beatae quo minima possimus."
22,Estante Livreiro 5 Prateleiras,Móveis,1835.58,True,"Estante Livreiro 5 Prateleiras | Categoria: Móveis | Cor: champanhe | Material: ABS | Voltagem: 220V | Peso: 4.0 kg | Dimensões: 141x179x47 cm | Capacidade: 120kg suportados | Potência: — | Conectividade: NFC | Recursos: assistência técnica nacional, controle por app, garantia 12 meses, baixo ruído | Garantia: 6 meses | Origem: México | Indicações de uso: estúdio | Compatível com: tomada padrão | Palavras-chave: móveis, champanhe, ABS, 220V, 120kg suportados, —, NFC, eficiência, durável, custo-benefício | Exercitationem iste consequatur pariatur doloribus laborum ratione voluptates."
23,Cadeira Ergonômica com Apoio Lombar,Móveis,3558.21,True,"Cadeira Ergonômica com Apoio Lombar | Categoria: Móveis | Cor: verde-oliva | Material: tecido suede | Voltagem: 110V | Peso: 11.13 kg | Dimensões: 177x186x5 cm | Capacidade: 120kg suportados | Potência: — | Conectividade: Bluetooth 5.3, NFC | Recursos: baixo ruído, acabamento premium, assistência técnica nacional, fácil instalação, controle por app | Garantia: 12 meses | Origem: México | Indicações de uso: estúdio | Compatível com: USB-C PD | Palavras-chave: móveis, verde-oliva, tecido suede, 110V, 120kg suportados, —, Bluetooth 5.3, NFC, eficiência, durável, custo-benefício | Expedita non unde similique impedit perferendis."
24,"Rack para Sala 1,80m",Móveis,3282.23,False,"Rack para Sala 1,80m | Categoria: Móveis | Cor: verde-oliva | Material: malha respirável | Voltagem: 110V | Peso: 40.39 kg | Dimensões: 200x131x62 cm | Capacidade: 200kg suportados | Potência: — | Conectividade: NFC | Recursos: acabamento premium, resistente a riscos, assistência técnica nacional, garantia 12 meses | Garantia: 12 meses | Origem: Brasil | Indicações de uso: escritório | Compatível com: padrão ABNT | Palavras-chave: móveis, verde-oliva, malha respirável, 110V, 200kg suportados, —, NFC, eficiência, durável, custo-benefício | Eos suscipit rerum voluptatibus voluptatibus optio corrupti fugiat libero."
25,Aspirador Vertical Philco Ciclone,Eletrodomésticos,2020.30,True,"Aspirador Vertical Philco Ciclone | Categoria: Eletrodomésticos | Cor: prata | Material: ABS | Voltagem: bivolt | Peso: 17.36 kg | Dimensões: 49x190x32 cm | Capacidade: 11kg | Potência: 1449W | Conectividade: USB-C, DisplayPort | Recursos: fácil instalação, baixo ruído, assistência técnica nacional, controle por app, resistente a riscos | Garantia: 12 meses | Origem: Brasil | Indicações de uso: viagem | Compatível com: Wi-Fi 2.4/5GHz | Palavras-chave: eletrodomésticos, prata, ABS, bivolt, 11kg, 1449W, USB-C, DisplayPort, eficiência, durável, custo-benefício | Similique modi explicabo aliquam natus nam officiis."
26,Cadeira Gamer DT3 Sports,Móveis,3777.84,True,"Cadeira Gamer DT3 Sports | Categoria: Móveis | Cor: verde-oliva | Material: vidro temperado | Voltagem: 220V | Peso: 33.69 kg | Dimensões: 149x164x33 cm | Capacidade: 200kg suportados | Potência: — | Conectividade: USB-C | Recursos: resistente a riscos, baixo ruído, fácil instalação, garantia 12 meses, proteção contra sobrecarga | Garantia: 24 meses | Origem: Vietnã | Indicações de uso: profissional | Compatível com: Wi-Fi 2.4/5GHz | Palavras-chave: móveis, verde-oliva, vidro temperado, 220V, 200kg suportados, —, USB-C, eficiência, durável, custo-benefício | Itaque deserunt porro ratione consequatur at deserunt ab quam distinctio sapiente voluptatem esse."
27,Fone TWS QCY T13,Telefonia,3766.82,False,"Fone TWS QCY T13 | Categoria: Telefonia | Cor: dourado | Material: cerâmica | Voltagem: 220V | Peso: 1.41 kg | Dimensões: 174x119x22 cm | Capacidade: 6000mAh | Potência: — | Conectividade: Wi-Fi | Recursos: fácil instalação, proteção contra sobrecarga, assistência técnica nacional, resistente a riscos | Garantia: 12 meses | Origem: China | Indicações de uso: estúdio | Compatível com: USB-C PD | Palavras-chave: telefonia, dourado, cerâmica, 220V, 6000mAh, —, Wi-Fi, eficiência, durável, custo-benefício | Fuga illo similique ducimus a sunt nulla sequi ex."
28,Guarda-Roupa 6 Portas Cedro,Móveis,3359.45,True,"Guarda-Roupa 6 Portas Cedro | Categoria: Móveis | Cor: cinza-escuro | Material: aço inox | Voltagem: 110V | Peso: 10.25 kg | Dimensões: 27x176x10 cm | Capacidade: 120kg suportados | Potência: — | Conectividade: Bluetooth 5.3 | Recursos: controle por app, garantia 12 meses | Garantia: 6 meses | Origem: México | Indicações de uso: estúdio | Compatível com: tomada padrão | Palavras-chave: móveis, cinza-escuro, aço inox, 110V, 120kg suportados, —, Bluetooth 5.3, eficiência, durável, custo-benefício | Hic laudantium veniam molestias nobis impedit neque quasi deleniti accusamus officia quasi."
29,Barbeador Philips Aquatouch,Beleza,590.14,True,"Barbeador Philips Aquatouch | Categoria: Beleza | Cor: vermelho | Material: ABS | Voltagem: 220V | Peso: 27.4 kg | Dimensões: 193x39x25 cm | Capacidade: — | Potência: 921W | Conectividade: Wi-Fi, USB-C, HDMI | Recursos: assistência técnica nacional, eficiência energética A, controle por app, baixo ruído, proteção contra sobrecarga | Garantia: 12 meses | Origem: Brasil | Indicações de uso: viagem | Compatível com: tomada padrão | Palavras-chave: beleza, vermelho, ABS, 220V, —, 921W, Wi-Fi, USB-C, HDMI, eficiência, durável, custo-benefício | Tempore vel voluptatum odit reprehenderit omnis porro optio aperiam."
30,Air Fryer Mondial 4L,Eletrodomésticos,2656.01,True,"Air Fryer Mondial 4L | Categoria: Eletrodomésticos | Cor: cinza-escuro | Material: MDF BP | Voltagem: bivolt | Peso: 38.26 kg | Dimensões: 135x37x60 cm | Capacidade: 20L | Potência: 1901W | Conectividade: NFC, Bluetooth 5.3 | Recursos: garantia 12 meses, acabamento premium, design ergonômico, resistente a riscos, fácil instalação | Garantia: 12 meses | Origem: Vietnã | Indicações de uso: estúdio | Compatível com: USB-C PD | Palavras-chave: eletrodomésticos, cinza-escuro, MDF BP, bivolt, 20L, 1901W, NFC, Bluetooth 5.3, eficiência, durável, custo-benefício | Deserunt aliquam sed voluptate non perferendis veritatis deleniti expedita nam."
31,Máquina de Lavar Consul 11kg,Eletrodomésticos,5009.78,True,"Máquina de Lavar Consul 11kg | Categoria: Eletrodomésticos | Cor: champanhe | Material: policarbonato | Voltagem: 110V | Peso: 25.73 kg | Dimensões: 181x107x48 cm | Capacidade: 11kg | Potência: 1612W | Conectividade: Bluetooth 5.3, HDMI | Recursos: proteção contra sobrecarga, design ergonômico, controle por app | Garantia: 12 meses | Origem: China | Indicações de uso: viagem | Compatível com: tomada padrão | Palavras-chave: eletrodomésticos, champanhe, policarbonato, 110V, 11kg, 1612W, Bluetooth 5.3, HDMI, eficiência, durável, custo-benefício | Ducimus rem impedit quidem accusamus cupiditate quia culpa."
32,Barbeador Philips Aquatouch,Beleza,157.60,True,"Barbeador Philips Aquatouch | Categoria: Beleza | Cor: champanhe | Material: malha respirável | Voltagem: bivolt | Peso: 31.14 kg | Dimensões: 175x192x67 cm | Capacidade: — | Potência: 735W | Conectividade: USB-C | Recursos: fácil instalação, assistência técnica nacional, design ergonômico | Garantia: 24 meses | Origem: China | Indicações de uso: estúdio | Compatível com: USB-C PD | Palavras-chave: beleza, champanhe, malha respirável, bivolt, —, 735W, USB-C, eficiência, durável, custo-benefício | Modi assumenda cupiditate vero quod non sit ipsa voluptate odit itaque sapiente."
33,Cama Box Queen 158cm,Móveis,1403.47,True,"Cama Box Queen 158cm | Categoria: Móveis | Cor: azul-marinho | Material: MDF | Voltagem: 110V | Peso: 10.53 kg | Dimensões: 194x59x45 cm | Capacidade: 120kg suportados | Potência: — | Conectividade: DisplayPort, Bluetooth 5.3, NFC | Recursos: resistente a riscos, design ergonômico, acabamento premium | Garantia: 6 meses | Origem: México | Indicações de uso: escritório | Compatível com: padrão ABNT | Palavras-chave: móveis, azul-marinho, MDF, 110V, 120kg suportados, —, DisplayPort, Bluetooth 5.3, NFC, eficiência, durável, custo-benefício | Beatae non totam quibusdam molestias doloremque laborum expedita similique voluptate voluptates molestias."
34,Micro-ondas Electrolux 20L,Eletrodomésticos,1918.27,True,"Micro-ondas Electrolux 20L | Categoria: Eletrodomésticos | Cor: prata | Material: MDF | Voltagem: bivolt | Peso: 43.85 kg | Dimensões: 151x84x21 cm | Capacidade: 2L | Potência: 2141W | Conectividade: Wi-Fi, NFC | Recursos: resistente a riscos, controle por app, acabamento premium, garantia 12 meses | Garantia: 6 meses | Origem: Brasil | Indicações de uso: escritório | Compatível com: Wi-Fi 2.4/5GHz | Palavras-chave: eletrodomésticos, prata, MDF, bivolt, 2L, 2141W, Wi-Fi, NFC, eficiência, durável, custo-benefício | Laboriosam voluptates natus ipsa odio totam."
35,Notebook Dell Inspiron 15,Informática,3277.57,True,"Notebook Dell Inspiron 15 | Categoria: Informática | Cor: preto | Material: ABS | Voltagem: bivolt | Peso: 36.54 kg | Dimensões: 87x31x36 cm | Capacidade: 256GB | Potência: — | Conectividade: DisplayPort, NFC, Bluetooth 5.3 | Recursos: resistente a riscos, controle por app, design ergonômico, fácil instalação, acabamento premium | Garantia: 12 meses | Origem: China | Indicações de uso: viagem | Compatível com: tomada padrão | Palavras-chave: informática, preto, ABS, bivolt, 256GB, —, DisplayPort, NFC, Bluetooth 5.3, eficiência, durável, custo-benefício | Accusamus odio eligendi dolorum commodi sint tenetur maiores."
36,Prancha Babyliss Pro Nano Titanium,Beleza,1140.25,True,"Prancha Babyliss Pro Nano Titanium | Categoria: Beleza | Cor: grafite | Material: MDF | Voltagem: 220V | Peso: 3.84 kg | Dimensões: 71x54x75 cm | Capacidade: 200°C | Potência: 1020W | Conectividade: HDMI | Recursos: controle por app, resistente a riscos, design ergonômico, baixo ruído, eficiência energética A | Garantia: 12 meses | Origem: China | Indicações de uso: estúdio | Compatível com: tomada padrão | Palavras-chave: beleza, grafite, MDF, 220V, 200°C, 1020W, HDMI, eficiência, durável, custo-benefício | Quam deleniti consequatur cupiditate necessitatibus qui minus minima illum."
37,Realme C55 256GB,Telefonia,5527.53,True,"Realme C55 256GB | Categoria: Telefonia | Cor: grafite | Material: vidro temperado | Voltagem: bivolt | Peso: 24.6 kg | Dimensões: 175x48x39 cm | Capacidade: 256GB | Potência: — | Conectividade: Wi-Fi | Recursos: design ergonômico, controle por app, resistente a riscos | Garantia: 6 meses | Origem: Vietnã | Indicações de uso: escritório | Compatível com: Wi-Fi 2.4/5GHz | Palavras-chave: telefonia, grafite, vidro temperado, bivolt, 256GB, —, Wi-Fi, eficiência, durável, custo-benefício | Facere et neque officiis voluptas odio vel provident recusandae nisi eaque."
38,Air Fryer Mondial 4L,Eletrodomésticos,3308.89,True,"Air Fryer Mondial 4L | Categoria: Eletrodomésticos | Cor: dourado | Material: aço inox | Voltagem: 110V | Peso: 33.11 kg | Dimensões: 164x74x8 cm | Capacidade: 11kg | Potência: 1068W | Conectividade: DisplayPort, NFC, Wi-Fi | Recursos: controle por app, baixo ruído, garantia 12 meses, assistência técnica nacional | Garantia: 24 meses | Origem: Vietnã | Indicações de uso: escritório | Compatível com: padrão ABNT | Palavras-chave: eletrodomésticos, dourado, aço inox, 110V, 11kg, 1068W, DisplayPort, NFC, Wi-Fi, eficiência, durável, custo-benefício | Doloremque ea ullam quasi rerum voluptates dicta."
39,Aparador de Pelos Philips OneBlade,Beleza,783.65,True,"Aparador de Pelos Philips OneBlade | Categoria: Beleza | Cor: branco | Material: tecido suede | Voltagem: 110V | Peso: 18.49 kg | Dimensões: 92x181x18 cm | Capacidade: 200°C | Potência: 1375W | Conectividade: NFC, HDMI | Recursos: fácil instalação, acabamento premium, baixo ruído, assistência técnica nacional | Garantia: 6 meses | Origem: China | Indicações de uso: escritório | Compatível com: USB-C PD | Palavras-chave: beleza, branco, tecido suede, 110V, 200°C, 1375W, NFC, HDMI, eficiência, durável, custo-benefício | Dolore ipsa nobis laborum expedita provident praesentium quod autem."
40,SSD NVMe Kingston 1TB,Informática,6935.50,True,"SSD NVMe Kingston 1TB | Categoria: Informática | Cor: preto | Material: malha respirável | Voltagem: 110V | Peso: 18.71 kg | Dimensões: 58x142x51 cm | Capacidade: 32GB RAM | Potência: — | Conectividade: HDMI, Wi-Fi, Bluetooth 5.3 | Recursos: acabamento premium, garantia 12 meses, design ergonômico, assistência técnica nacional | Garantia: 24 meses | Origem: Vietnã | Indicações de uso: doméstico | Compatível com: tomada padrão | Palavras-chave: informática, preto, malha respirável, 110V, 32GB RAM, —, HDMI, Wi-Fi, Bluetooth 5.3, eficiência, durável, custo-benefício | Facere rem rem quibusdam possimus ab."
41,Barbeador Philips Aquatouch,Beleza,869.15,True,"Barbeador Philips Aquatouch | Categoria: Beleza | Cor: preto | Material: malha respirável | Voltagem: 110V | Peso: 4.38 kg | Dimensões: 39x128x20 cm | Capacidade: 200°C | Potência: 1720W | Conectividade: USB-C, DisplayPort, NFC | Recursos: resistente a riscos, controle por app, assistência técnica nacional, acabamento premium, design ergonômico | Garantia: 6 meses | Origem: Vietnã | Indicações de uso: profissional | Compatível com: padrão ABNT | Palavras-chave: beleza, preto, malha respirável, 110V, 200°C, 1720W, USB-C, DisplayPort, NFC, eficiência, durável, custo-benefício | Id magnam earum temporibus nemo vitae culpa officia consequuntur necessitatibus minus quisquam quo."
