id_venda,id_cliente,id_produto,data_venda,quantidade,valor_unitario,valor_total,canal_venda
50,72,41,2025-03-12 19:35:37,1,3148.73,3148.73,online
51,9,176,2025-05-16 00:45:05,3,5408.01,16224.03,marketplace
52,61,137,2025-07-06 21:52:32,1,6944.32,6944.32,marketplace
53,100,120,2024-11-27 22:31:36,4,4919.87,19679.48,online
54,19,199,2024-12-31 11:50:37,3,5740.23,17220.69,marketplace
55,63,177,2025-06-01 01:29:25,5,7307.24,36536.2,marketplace
56,76,85,2025-01-16 22:09:22,1,3266.63,3266.63,online
57,62,59,2025-04-12 12:22:15,4,5859.59,23438.36,loja física
58,23,72,2025-06-12 15:07:09,1,6749.08,6749.08,loja física
59,55,116,2025-02-08 21:48:37,5,2542.21,12711.05,online
60,58,137,2025-08-23 13:05:02,4,6944.32,27777.28,online
61,12,189,2024-11-25 05:36:35,4,1326.56,5306.24,marketplace
62,2,11,2025-11-10 01:06:49,5,1779.66,8898.3,online
63,3,156,2025-05-27 17:36:49,3,2299.63,6898.89,online
64,25,35,2025-06-10 09:11:23,3,21.65,64.95,marketplace
65,83,186,2025-07-05 19:03:40,2,3951.9,7903.8,online
66,12,37,2025-08-14 13:24:38,4,7062.33,28249.32,marketplace
67,33,192,2025-06-20 13:58:53,5,1220.78,6103.9,online
68,89,73,2025-01-27 03:17:31,1,7575.29,7575.29,loja física
69,98,49,2025-06-27 21:53:11,2,6052.79,12105.58,loja física
70,1,102,2025-09-08 01:11:35,1,1228.37,1228.37,online
71,1,36,2025-11-16 05:17:55,2,1152.03,2304.06,online
72,22,150,2025-07-11 23:55:46,5,6961.72,34808.6,marketplace
73,64,21,2025-08-17 09:43:20,4,1722.18,6888.72,marketplace
74,88,67,2024-12-12 17:21:24,5,2493.91,12469.55,marketplace
75,65,21,2025-05-18 09:52:25,5,1722.18,8610.9,marketplace
76,98,184,2025-02-12 12:04:36,3,6273.84,18821.52,online
77,11,78,2025-06-20 23:44:27,1,4109.14,4109.14,online
78,37,44,2025-09-11 05:34:59,2,37.54,75.08,marketplace
79,78,102,2025-07-22 10:13:50,5,1228.37,6141.85,online
80,61,68,2025-11-02 09:29:54,2,1739.61,3479.22,marketplace
81,98,188,2025-04-27 06:11:01,2,4322.47,8644.94,loja física
82,100,3,2025-05-14 09:08:58,1,1632.5,1632.5,online
83,30,112,2025-02-28 04:51:56,3,5985.55,17956.65,marketplace
84,88,179,2025-01-21 00:33:42,3,2460.12,7380.36,online
85,66,166,2025-05-24 11:34:21,3,2137.67,6413.01,marketplace
86,66,145,2025-11-04 21:06:31,2,1607.94,3215.88,loja física
87,25,34,2025-02-23 00:23:11,5,6615.09,33075.45,online
88,22,111,2025-04-24 06:20:52,1,2373.6,2373.6,loja física
89,78,75,2025-06-25 19:51:35,3,5102.31,15306.93,loja física
90,54,2,2025-06-04 01:52:42,2,2385.09,4770.18,online
91,56,44,2025-05-12 13:47:30,1,37.54,37.54,loja física
92,17,165,2024-11-25 07:02:51,4,3815.09,15260.36,online
93,56,150,2025-10-24 19:27:39,1,6961.72,6961.72,loja física
94,62,41,2025-06-21 08:03:31,2,3148.73,6297.46,marketplace
95,45,4,2025-03-13 14:10:48,4,1271.94,5087.76,marketplace
96,88,87,2024-11-21 11:40:18,1,7710.49,7710.49,marketplace
97,49,144,2025-11-18 15:33:03,5,646.02,3230.1,marketplace
98,89,79,2025-01-03 15:53:55,2,2263.23,4526.46,loja física
99,99,36,2025-06-19 15:27:22,3,1152.03,3456.09,online
100,40,123,2025-08-30 06:14:51,4,3717.23,14868.92,online
101,55,80,2025-01-14 04:03:06,3,2718.51,8155.53,online
102,78,133,2025-01-09 22:23:45,1,6315.58,6315.58,online
103,31,140,2025-09-10 22:12:00,1,3458.6,3458.6,marketplace
104,5,42,2025-11-15 16:42:56,2,4214.82,8429.64,marketplace
105,47,100,2025-08-08 16:07:50,5,6067.84,30339.2,marketplace
106,57,72,2025-03-25 10:25:00,3,6749.08,20247.24,marketplace
107,46,56,2025-03-26 14:38:25,5,3960.1,19800.5,marketplace
108,96,152,2024-12-17 19:44:15,2,354.04,708.08,marketplace
109,30,128,2025-08-11 07:57:52,5,7259.79,36298.95,online
110,79,86,2025-05-04 03:56:59,3,5446.58,16339.74,marketplace
111,38,188,2025-01-26 15:21:11,3,4322.47,12967.41,marketplace
112,33,25,2025-08-12 08:32:15,1,6697.46,6697.46,online
113,90,200,2024-11-28 03:56:19,4,5453.83,21815.32,marketplace
114,45,111,2025-05-26 23:17:37,1,2373.6,2373.6,marketplace
115,24,64,2025-03-28 11:13:03,1,2852.48,2852.48,marketplace
116,90,72,2025-10-10 15:18:18,2,6749.08,13498.16,online
117,50,61,2025-04-17 01:05:42,2,2558.74,5117.48,loja física
118,46,200,2025-03-05 18:04:33,1,5453.83,5453.83,online
119,12,199,2025-05-02 21:04:31,3,5740.23,17220.69,marketplace
120,29,35,2025-11-17 04:46:25,1,21.65,21.65,marketplace
121,72,111,2025-02-26 11:13:31,1,2373.6,2373.6,marketplace
122,1,125,2025-03-30 00:46:53,4,6286.32,25145.28,loja física
123,78,123,2025-02-18 03:01:08,4,3717.23,14868.92,marketplace
124,17,29,2025-06-19 21:11:14,2,6414.58,12829.16,loja física
125,19,46,2025-09-07 03:52:08,4,438.2,1752.8,online
126,90,128,2025-09-08 10:41:18,3,7259.79,21779.37,loja física
127,25,132,2024-12-31 23:28:57,1,682.7,682.7,marketplace
128,25,62,2024-12-19 21:05:46,3,1225.79,3677.37,loja física
129,15,118,2025-07-02 03:33:53,5,2586.74,12933.7,marketplace
130,69,184,2025-05-24 00:51:06,4,6273.84,25095.36,marketplace
131,77,138,2025-04-27 07:10:36,4,2513.11,10052.44,online
132,100,100,2024-12-14 00:16:35,4,6067.84,24271.36,online
133,75,125,2025-10-17 02:47:05,3,6286.32,18858.96,online
134,49,180,2025-04-17 18:23:04,5,5694.59,28472.95,online
135,100,46,2025-05-12 06:47:07,5,438.2,2191.0,online
136,43,195,2025-09-22 23:22:40,5,7452.98,37264.9,marketplace
137,66,166,2025-08-18 20:42:51,3,2137.67,6413.01,online
138,92,81,2025-02-08 08:48:40,4,3611.78,14447.12,online
139,23,137,2025-05-13 22:58:13,3,6944.32,20832.96,loja física
140,65,138,2025-02-23 23:19:52,3,2513.11,7539.33,online
141,67,133,2024-12-25 13:58:39,1,6315.58,6315.58,loja física
142,14,50,2024-12-14 10:11:19,3,4804.44,14413.32,loja física
143,58,52,2025-08-29 15:39:42,3,1847.55,5542.65,online
144,45,137,2025-02-15 10:37:06,4,6944.32,27777.28,loja física
145,58,94,2025-06-09 18:55:10,3,4429.06,13287.18,loja física
146,40,151,2024-12-30 11:38:14,2,5329.91,10659.82,marketplace
147,61,26,2025-08-07 19:43:27,2,5613.17,11226.34,loja física
148,13,42,2025-10-10 09:22:32,2,4214.82,8429.64,online
149,68,43,2024-11-26 14:07:51,5,3876.7,19383.5,marketplace
150,62,172,2025-02-21 20:53:21,1,534.87,534.87,marketplace
151,85,198,2025-02-12 03:19:11,5,5770.84,28854.2,marketplace
152,54,90,2025-01-09 16:16:24,4,7450.75,29803.0,loja física
153,75,61,2025-06-04 00:30:40,5,2558.74,12793.7,loja física
154,83,49,2025-03-01 02:08:30,2,6052.79,12105.58,marketplace
155,25,195,2025-03-25 10:36:26,3,7452.98,22358.94,loja física
156,40,168,2025-02-11 13:24:05,4,5044.32,20177.28,marketplace
157,82,187,2025-07-07 16:37:37,1,7603.15,7603.15,online
158,74,165,2025-06-23 04:37:08,4,3815.09,15260.36,online
159,76,8,2025-06-02 16:28:47,4,6008.6,24034.4,online
160,100,22,2025-08-03 05:25:08,3,5745.02,17235.06,online
161,36,72,2024-11-29 13:14:30,2,6749.08,13498.16,loja física
162,96,114,2025-08-10 12:10:21,5,7478.4,37392.0,loja física
163,48,10,2025-08-03 04:33:53,2,7563.09,15126.18,marketplace
164,82,177,2025-01-19 02:50:45,5,7307.24,36536.2,online
165,59,196,2025-06-10 16:23:40,2,3869.96,7739.92,loja física
166,39,182,2025-09-23 22:37:11,2,6618.21,13236.42,marketplace
167,68,114,2025-10-08 07:58:41,5,7478.4,37392.0,loja física
168,27,119,2025-04-18 13:21:23,1,7867.18,7867.18,online
169,67,59,2025-03-18 07:00:06,3,5859.59,17578.77,loja física
170,55,22,2025-10-04 21:16:51,5,5745.02,28725.1,online
171,11,137,2024-12-20 15:25:26,2,6944.32,13888.64,online
172,96,155,2025-07-14 00:54:47,3,7049.38,21148.14,online
173,83,76,2025-01-06 05:27:34,1,6203.79,6203.79,loja física
174,15,200,2025-09-02 21:07:10,2,5453.83,10907.66,marketplace
175,8,116,2025-11-14 11:20:29,2,2542.21,5084.42,online
176,92,72,2025-09-04 17:59:39,5,6749.08,33745.4,online
177,23,191,2024-11-24 03:03:07,2,3505.32,7010.64,loja física
178,56,65,2025-06-26 14:33:49,5,1568.12,7840.6,loja física
179,74,72,2024-11-27 16:22:10,5,6749.08,33745.4,loja física
180,70,145,2025-05-11 05:24:43,4,1607.94,6431.76,loja física
181,48,25,2025-05-08 06:29:53,5,6697.46,33487.3,online
182,71,187,2025-01-26 11:55:52,2,7603.15,15206.3,online
183,65,144,2025-08-22 16:10:40,4,646.02,2584.08,loja física
184,68,136,2025-05-10 22:13:04,2,2269.96,4539.92,marketplace
185,74,188,2025-01-13 08:25:50,3,4322.47,12967.41,loja física
186,44,38,2025-11-12 03:56:16,1,6232.85,6232.85,marketplace
187,51,83,2025-02-24 23:09:29,4,3635.23,14540.92,loja física
188,94,154,2025-05-31 03:49:12,5,1830.78,9153.9,loja física
189,99,22,2024-11-23 17:14:06,1,5745.02,5745.02,online
190,47,153,2025-11-19 20:01:02,1,4441.51,4441.51,online
191,13,29,2025-09-01 02:10:10,4,6414.58,25658.32,loja física
192,11,133,2025-01-12 01:24:20,5,6315.58,31577.9,online
193,56,41,2025-04-02 23:54:15,5,3148.73,15743.65,loja física
194,98,128,2025-07-01 20:25:54,2,7259.79,14519.58,loja física
195,39,69,2025-08-02 14:57:10,5,3686.82,18434.1,loja física
196,29,80,2025-05-29 20:41:10,5,2718.51,13592.55,loja física
197,88,199,2024-11-23 03:19:02,2,5740.23,11480.46,loja física
198,8,132,2025-02-05 07:18:02,3,682.7,2048.1,online
199,2,48,2025-03-14 14:56:22,2,1320.0,2640.0,loja física
200,91,78,2025-07-20 06:39:15,4,4109.14,16436.56,loja física
201,30,145,2025-08-22 12:00:15,4,1607.94,6431.76,loja física
202,19,83,2025-04-24 08:02:08,4,3635.23,14540.92,marketplace
203,19,130,2025-02-28 17:56:02,1,2844.68,2844.68,online
204,22,125,2025-06-26 21:48:14,2,6286.32,12572.64,online
205,22,145,2025-03-10 02:01:13,5,1607.94,8039.7,online
206,50,61,2025-07-18 15:29:34,5,2558.74,12793.7,marketplace
207,28,174,2024-12-04 07:11:11,4,5664.64,22658.56,marketplace
208,43,21,2024-12-07 18:38:24,3,1722.18,5166.54,online
209,57,16,2025-04-16 19:58:39,4,4229.57,16918.28,marketplace
210,64,144,2025-07-12 14:56:57,1,646.02,646.02,online
211,36,112,2025-01-20 16:15:50,4,5985.55,23942.2,marketplace
212,64,162,2025-10-03 07:40:28,5,4998.82,24994.1,marketplace
213,41,198,2025-01-23 03:06:31,1,5770.84,5770.84,marketplace
214,35,176,2024-12-11 01:29:00,3,5408.01,16224.03,loja física
215,16,101,2025-06-29 11:56:36,1,600.38,600.38,loja física
216,85,166,2025-02-19 14:34:00,5,2137.67,10688.35,marketplace
217,6,178,2025-02-07 21:47:21,1,2021.54,2021.54,marketplace
218,28,94,2025-06-16 18:48:16,2,4429.06,8858.12,marketplace
219,69,90,2025-09-19 06:12:06,5,7450.75,37253.75,online
220,60,200,2025-08-31 15:40:10,2,5453.83,10907.66,loja física
221,66,170,2025-02-25 04:45:30,3,67.31,201.93,loja física
222,19,27,2025-09-11 20:55:51,4,3743.43,14973.72,loja física
223,85,122,2025-06-18 03:51:44,4,491.62,1966.48,online
224,26,95,2025-09-15 07:06:02,4,6041.81,24167.24,loja física
225,26,95,2025-04-28 22:39:04,3,6041.81,18125.43,loja física
226,27,79,2025-04-07 13:14:43,2,2263.23,4526.46,marketplace
227,14,96,2025-04-09 09:42:31,2,5811.56,11623.12,marketplace
228,22,33,2025-09-14 18:00:00,3,5771.45,17314.35,loja física
229,21,126,2025-09-17 05:01:28,5,6136.27,30681.35,online
230,3,165,2025-05-14 03:49:02,5,3815.09,19075.45,online
231,37,101,2024-12-26 10:17:48,2,600.38,1200.76,marketplace
232,65,46,2025-01-13 04:07:58,4,438.2,1752.8,marketplace
233,46,98,2025-06-07 17:57:18,4,1045.74,4182.96,marketplace
234,97,18,2025-05-02 01:59:53,1,7915.71,7915.71,loja física
235,40,24,2024-12-01 02:16:39,4,6737.09,26948.36,online
236,20,194,2025-08-29 11:29:18,5,2626.77,13133.85,marketplace
237,48,87,2025-03-13 16:31:43,5,7710.49,38552.45,online
238,38,37,2025-04-22 22:56:30,5,7062.33,35311.65,marketplace
239,89,195,2025-04-13 07:07:24,4,7452.98,29811.92,marketplace
240,88,117,2025-05-17 16:10:56,2,4384.13,8768.26,loja física
241,7,98,2025-01-04 08:19:28,4,1045.74,4182.96,loja física
242,83,180,2025-06-12 01:27:17,3,5694.59,17083.77,loja física
243,42,153,2025-01-01 10:29:17,1,4441.51,4441.51,loja física
244,51,140,2025-01-12 07:57:44,4,3458.6,13834.4,loja física
245,40,78,2025-07-27 12:29:43,2,4109.14,8218.28,online
246,74,167,2025-09-05 08:47:22,2,7881.23,15762.46,marketplace
247,93,24,2025-07-17 15:38:47,5,6737.09,33685.45,marketplace
248,74,43,2025-07-03 17:05:31,5,3876.7,19383.5,marketplace
249,10,46,2025-02-25 03:17:20,1,438.2,438.2,loja física
250,32,16,2025-10-05 04:34:57,1,4229.57,4229.57,marketplace
251,98,182,2025-06-24 14:40:50,5,6618.21,33091.05,online
252,91,52,2025-08-05 22:14:41,4,1847.55,7390.2,loja física
253,30,111,2025-03-22 02:49:44,4,2373.6,9494.4,loja física
254,88,78,2025-01-02 05:45:25,5,4109.14,20545.7,marketplace
255,56,133,2025-01-19 09:45:43,2,6315.58,12631.16,loja física
256,50,78,2025-09-08 22:08:08,2,4109.14,8218.28,loja física
257,62,128,2025-08-26 22:48:50,1,7259.79,7259.79,marketplace
258,43,178,2025-11-13 20:35:23,5,2021.54,10107.7,online
259,31,36,2025-03-28 19:59:49,2,1152.03,2304.06,online
260,78,180,2025-10-22 07:11:40,3,5694.59,17083.77,marketplace
261,2,146,2025-01-06 12:52:34,2,4663.52,9327.04,online
262,39,71,2024-12-19 05:31:10,2,3903.75,7807.5,loja física
263,40,53,2025-03-27 18:29:48,3,7178.61,21535.83,loja física
264,46,114,2025-09-23 13:24:14,4,7478.4,29913.6,marketplace
265,95,34,2025-08-15 17:54:18,1,6615.09,6615.09,online
266,21,16,2025-04-16 04:53:04,2,4229.57,8459.14,online
267,87,95,2025-09-27 04:52:44,2,6041.81,12083.62,loja física
268,71,198,2025-06-24 03:47:04,2,5770.84,11541.68,marketplace
269,43,12,2025-01-02 16:47:28,5,4547.24,22736.2,marketplace
270,10,199,2024-12-19 23:45:42,5,5740.23,28701.15,loja física
271,28,104,2025-08-05 03:56:35,3,2231.68,6695.04,loja física
272,45,120,2025-08-30 07:47:32,5,4919.87,24599.35,loja física
273,34,170,2025-04-07 20:55:17,1,67.31,67.31,online
274,43,74,2024-12-18 06:48:33,5,128.85,644.25,loja física
275,13,176,2025-05-21 23:43:56,1,5408.01,5408.01,loja física
276,89,29,2025-05-24 22:28:27,1,6414.58,6414.58,marketplace
277,97,40,2025-03-20 12:23:04,5,198.18,990.9,marketplace
278,80,86,2025-06-21 14:51:26,5,5446.58,27232.9,online
279,75,139,2025-08-27 11:26:05,3,6720.34,20161.02,marketplace
280,37,5,2025-02-12 16:48:26,2,7952.07,15904.14,online
281,3,93,2025-05-09 16:25:41,4,2994.59,11978.36,online
282,7,75,2025-08-20 23:08:55,1,5102.31,5102.31,loja física
283,9,174,2024-11-21 23:39:43,1,5664.64,5664.64,marketplace
284,99,59,2024-12-20 13:33:40,5,5859.59,29297.95,loja física
285,58,146,2025-07-14 00:54:33,2,4663.52,9327.04,loja física
286,68,117,2025-08-02 01:47:28,1,4384.13,4384.13,loja física
287,70,11,2024-12-25 06:21:23,2,1779.66,3559.32,loja física
288,17,186,2025-04-26 01:44:40,2,3951.9,7903.8,marketplace
289,22,157,2025-05-28 21:11:38,2,4646.38,9292.76,loja física
290,52,133,2025-08-25 12:04:52,4,6315.58,25262.32,marketplace
291,67,64,2025-06-21 10:39:18,2,2852.48,5704.96,loja física
292,85,51,2025-04-09 15:32:44,1,6548.52,6548.52,online
293,14,37,2025-04-18 03:52:12,1,7062.33,7062.33,loja física
294,38,180,2025-06-26 05:54:53,5,5694.59,28472.95,marketplace
295,9,134,2025-08-11 19:15:44,2,1669.06,3338.12,online
296,58,56,2025-08-05 20:32:16,4,3960.1,15840.4,marketplace
297,90,117,2025-09-17 02:11:00,1,4384.13,4384.13,online
298,60,9,2025-06-22 15:34:22,4,6513.75,26055.0,online
299,53,177,2025-06-14 16:58:45,2,7307.24,14614.48,online
300,96,43,2024-12-26 12:02:41,2,3876.7,7753.4,online
301,18,54,2025-09-18 04:33:58,1,518.22,518.22,loja física
302,38,97,2025-03-02 04:07:24,5,7149.13,35745.65,marketplace
303,2,108,2025-07-07 18:15:39,4,1251.95,5007.8,loja física
304,19,6,2025-03-15 09:29:06,1,3971.53,3971.53,online
305,15,22,2025-06-16 20:14:35,3,5745.02,17235.06,online
306,91,128,2025-11-03 23:14:15,5,7259.79,36298.95,online
307,44,181,2024-12-17 06:28:43,5,2861.26,14306.3,marketplace
308,94,65,2025-06-11 21:29:24,1,1568.12,1568.12,loja física
309,64,78,2025-03-30 12:22:01,2,4109.14,8218.28,marketplace
310,6,195,2025-11-07 10:10:09,3,7452.98,22358.94,online
311,58,1,2025-06-16 17:46:47,4,5458.41,21833.64,online
312,20,131,2024-12-02 04:13:31,4,3140.68,12562.72,loja física
313,75,44,2025-04-30 02:38:10,5,37.54,187.7,marketplace
314,24,71,2025-04-06 12:46:03,3,3903.75,11711.25,online
315,54,35,2025-05-12 22:36:22,3,21.65,64.95,loja física
316,73,71,2025-09-16 11:43:58,3,3903.75,11711.25,online
317,59,94,2024-12-07 00:54:46,4,4429.06,17716.24,marketplace
318,45,58,2025-04-30 11:12:25,1,7660.78,7660.78,loja física
319,95,126,2025-10-25 18:04:54,1,6136.27,6136.27,online
320,59,46,2025-02-15 06:12:23,1,438.2,438.2,online
321,53,69,2025-08-21 06:44:18,3,3686.82,11060.46,online
322,12,63,2025-10-05 21:57:50,3,354.05,1062.15,loja física
323,73,27,2025-10-09 12:28:45,5,3743.43,18717.15,marketplace
324,62,133,2025-02-11 02:06:43,5,6315.58,31577.9,marketplace
325,35,78,2025-03-25 09:47:08,4,4109.14,16436.56,online
326,41,25,2025-01-03 11:41:04,5,6697.46,33487.3,loja física
327,86,29,2025-03-24 09:56:38,3,6414.58,19243.74,loja física
328,90,53,2025-10-30 19:28:05,5,7178.61,35893.05,marketplace
329,24,80,2025-09-26 09:14:10,3,2718.51,8155.53,loja física
330,71,151,2025-08-05 08:55:12,5,5329.91,26649.55,loja física
331,75,67,2025-06-27 21:16:33,2,2493.91,4987.82,loja física
332,52,91,2025-02-01 00:47:52,1,3057.66,3057.66,loja física
333,3,190,2025-08-29 10:03:44,1,1325.77,1325.77,loja física
334,38,21,2025-09-12 17:47:39,1,1722.18,1722.18,marketplace
335,5,122,2025-07-23 17:54:51,2,491.62,983.24,marketplace
336,95,121,2025-11-02 04:52:21,2,5689.3,11378.6,online
337,67,77,2025-09-09 06:47:33,5,6237.15,31185.75,loja física
338,58,151,2025-04-05 04:57:32,3,5329.91,15989.73,online
339,49,63,2025-02-07 23:57:06,3,354.05,1062.15,loja física
340,61,16,2025-07-25 13:14:15,4,4229.57,16918.28,loja física
341,40,77,2025-04-18 22:22:44,4,6237.15,24948.6,loja física
342,14,44,2025-05-07 06:28:17,1,37.54,37.54,marketplace
343,83,109,2024-12-06 01:49:56,4,714.96,2859.84,marketplace
344,62,99,2025-06-22 04:54:23,3,4654.47,13963.41,online
345,92,17,2025-02-21 21:55:15,5,5744.42,28722.1,online
346,95,158,2025-06-06 06:27:24,2,3769.25,7538.5,online
347,48,168,2025-03-29 17:08:36,2,5044.32,10088.64,online
348,15,133,2025-05-20 10:05:38,2,6315.58,12631.16,online
349,84,167,2025-06-26 04:35:43,2,7881.23,15762.46,marketplace
350,86,167,2024-12-01 11:49:50,4,7881.23,31524.92,marketplace
351,49,90,2025-05-18 19:01:42,3,7450.75,22352.25,online
352,82,149,2025-05-19 20:28:57,3,116.6,349.8,loja física
353,29,38,2025-04-21 20:07:04,3,6232.85,18698.55,loja física
354,27,153,2025-03-03 12:38:38,3,4441.51,13324.53,marketplace
355,98,172,2025-11-07 15:29:40,3,534.87,1604.61,online
356,92,3,2025-02-27 23:12:11,5,1632.5,8162.5,loja física
357,89,192,2025-07-30 00:53:19,3,1220.78,3662.34,loja física
358,98,43,2025-09-02 04:24:30,1,3876.7,3876.7,marketplace
359,25,43,2025-05-06 10:09:57,1,3876.7,3876.7,online
360,77,108,2025-09-12 11:25:08,4,1251.95,5007.8,online
361,5,14,2025-04-28 08:16:16,3,6442.85,19328.55,loja física
362,77,34,2025-07-07 12:23:01,1,6615.09,6615.09,loja física
363,52,174,2025-10-24 08:17:33,5,5664.64,28323.2,marketplace
364,59,191,2025-09-24 14:36:49,3,3505.32,10515.96,online
365,37,33,2025-09-01 08:33:18,1,5771.45,5771.45,marketplace
366,34,142,2025-11-08 08:28:15,4,5648.87,22595.48,online
367,95,187,2025-07-08 21:02:07,3,7603.15,22809.45,marketplace
368,42,72,2025-09-30 22:32:02,5,6749.08,33745.4,loja física
369,35,172,2025-02-24 14:54:58,2,534.87,1069.74,marketplace
370,42,104,2025-09-17 06:35:50,3,2231.68,6695.04,online
371,22,152,2025-08-05 13:01:15,4,354.04,1416.16,loja física
372,1,161,2025-10-23 14:38:26,4,6409.76,25639.04,loja física
373,87,48,2024-11-26 07:01:39,2,1320.0,2640.0,online
374,61,191,2024-11-26 20:57:28,3,3505.32,10515.96,marketplace
375,99,59,2025-07-26 23:25:23,1,5859.59,5859.59,marketplace
376,55,59,2025-07-26 03:35:36,3,5859.59,17578.77,online
377,9,63,2025-08-20 01:19:23,5,354.05,1770.25,loja física
378,79,107,2025-02-21 12:09:06,3,2466.49,7399.47,online
379,8,142,2025-07-07 14:38:57,2,5648.87,11297.74,loja física
380,44,110,2024-11-25 00:34:20,3,3237.41,9712.23,loja física
381,21,137,2025-05-01 10:55:18,5,6944.32,34721.6,marketplace
382,6,22,2025-09-10 09:13:54,3,5745.02,17235.06,online
383,68,89,2025-07-02 17:12:18,4,1387.85,5551.4,marketplace
384,88,46,2025-08-19 04:46:35,1,438.2,438.2,marketplace
385,31,40,2025-09-04 13:43:04,3,198.18,594.54,marketplace
386,100,192,2025-04-29 19:57:37,4,1220.78,4883.12,marketplace
387,89,62,2025-11-07 11:56:33,3,1225.79,3677.37,loja física
388,17,175,2025-03-29 09:58:24,2,3321.56,6643.12,online
389,25,97,2025-02-08 03:46:22,2,7149.13,14298.26,loja física
390,87,147,2025-10-27 08:30:18,5,2798.06,13990.3,marketplace
391,43,89,2025-11-08 17:48:11,2,1387.85,2775.7,loja física
392,74,156,2025-05-02 01:33:14,4,2299.63,9198.52,marketplace
393,1,129,2025-03-22 14:15:54,3,5526.98,16580.94,marketplace
394,89,17,2025-08-31 20:42:43,1,5744.42,5744.42,online
395,81,4,2025-02-15 19:48:06,5,1271.94,6359.7,marketplace
396,62,6,2025-07-01 08:12:15,3,3971.53,11914.59,loja física
397,5,72,2025-08-22 16:09:24,2,6749.08,13498.16,loja física
398,82,123,2025-01-11 02:11:18,4,3717.23,14868.92,online
399,14,54,2024-12-15 00:43:20,4,518.22,2072.88,online
400,11,185,2025-01-02 16:39:48,5,3609.57,18047.85,loja física
401,23,110,2025-09-28 18:38:27,5,3237.41,16187.05,online
402,1,161,2025-03-21 08:25:07,3,6409.76,19229.28,marketplace
403,47,50,2025-09-28 23:07:48,3,4804.44,14413.32,online
